Name,Symbol,Network,ContractAddress,EtherscanURL,DeployerWallet,DeploymentTxHash,TotalSupply,Decimals,Notes
OBEN Libra Token,LIBRA,Ethereum Mainnet, 0x933C05f5818928fF173CB200Ff704b0F1aa005aD _LIBRA_ADDRESS,https://etherscan.io/token/0x933C05f5818928fF173CB200Ff704b0F1aa005aD_LIBRA_ETHERSCAN_URL,0xb525ab1110a0105248bddb322bb5ce86931711b2_DEPLOYER_WALLET,0xda26244c75ea11e98948860d1452206bb59a400dd325a0245bb3b58634767c5b_LIBRA_TX_HASH,100000000,18,"Retail / public rail token"
OBEN Lithium Token,LITH,Ethereum Mainnet,0x6Af3dB1aA8cab5e7A9B46AA62b01FfBcCBc2b4fe_LITHIUM_ADDRESS,https://etherscan.io/token/0x6Af3dB1aA8cab5e7A9B46AA62b01FfBcCBc2b4fe_LITHIUM_ETHERSCAN_URL,0xb525ab1110a0105248bddb322bb5ce86931711b2_DEPLOYER_WALLET,0xbf15258d1e8a4bc34c10c3993336b763caf9feb4e8dbd0e21ce95b878213d931_LITHIUM_TX_HASH,100000000,18,"Infrastructure / private rail token"
OBEN Orion Token,ORION,Ethereum Mainnet,0xfB5FB15373373456e0aE71B025442172F7A65Af9_ORION_ADDRESS,https://etherscan.io/token/0xfb5fb15373373456e0ae71b025442172f7a65af9_ORION_ETHERSCAN_URL,0xb525ab1110a0105248bddb322bb5ce86931711b2_DEPLOYER_WALLET,0x428062e4f672d1e2cff433c510ff922a2bec03c1a5f603dd84b42f6423c963ba_ORION_TX_HASH,100000000,18,"Governance / control rail token"
