Identifier,Tag: Name,Service,Type,Region,Tag: Continent,Tag: Environment,Tag: Hemisphere,Tag: LatitudeBand,Tag: LattitudeBand,Tag: Layer,Tag: Libra-LocalRole,Tag: Lithium-LocalRole,Tag: Orion-LocalRole,Tag: PoleRole,Tag: Rails,Tag: Role,Tag: Sector,Tag: aws:ec2launchtemplate:id,Tag: aws:ec2launchtemplate:version,Tags,ARN
i-0dcbc468d2ce11fe0,EU-FORM,EC2,Instance,eu-central-2,(not tagged),Production,N,Arctic/Tropic-N,(not tagged),L1,Entry-EU,Exit-EU,None,None,"Libra,Lithium",Formation,EU,lt-04705d67d0feac392,1,14,arn:aws:ec2:eu-central-2:042655076638:instance/i-0dcbc468d2ce11fe0
i-075a99f2156553726,EU-EXP,EC2,Instance,eu-central-2,Europe,Production,S,Tropic-S,(not tagged),L2,Exit-EU,None,Exit-EU,None,"Libra,Orion",Expansion,(not tagged),(not tagged),(not tagged),12,arn:aws:ec2:eu-central-2:042655076638:instance/i-075a99f2156553726
i-065a4b36888769743,ALPHA-CORE,EC2,Instance,eu-central-2,Antartica,Production,N,(not tagged),Pole-North,L0,(not tagged),(not tagged),(not tagged),AlphaCore,None,CoreGenesis,(not tagged),(not tagged),(not tagged),9,arn:aws:ec2:eu-central-2:042655076638:instance/i-065a4b36888769743
i-047e951e2654f3658,EU-CROWN,EC2,Instance,eu-central-2,Europe,Production,EQ,Equator,(not tagged),L3,None,Entry-EU,Entry-EU,Neutral,"Lithium,Orion",Crown,(not tagged),(not tagged),(not tagged),12,arn:aws:ec2:eu-central-2:042655076638:instance/i-047e951e2654f3658
